EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2001,National,Canada,,,Overall,Full-Time,166,103,63,7,6,1,1,,1,1,1,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Middle and Other Managers,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Professionals,Full-Time,12,10,2,,,,,,,1,1,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,18,16,2,1,1,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Supervisors,Full-Time,5,3,2,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,45,42,3,2,2,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Clerical Personnel,Full-Time,13,,13,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,38,,38,1,,1,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,26,24,2,3,3,,1,,1,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,,,Overall,Part-Time,9,5,4,2,,2,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,6,5,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,2,,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2001,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,156,96,60,5,4,1,,,,1,1,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,12,10,2,,,,,,,1,1,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,17,15,2,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,5,3,2,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,43,40,3,1,1,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,12,,12,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,37,,37,1,,1,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,21,20,1,3,3,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,9,5,4,2,,2,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Part-Time,6,5,1,,,,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,2,,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2001,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,1,,1,,,,,,,,,
