EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,,,Overall,722,490,232,49,27,22,5,3,2,14,12,2
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"Under $15,000",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",6,3,3,2,1,1,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",96,53,43,18,13,5,2,1,1,1,,1
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",108,29,79,12,1,11,1,,1,1,,1
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",119,78,41,5,4,1,1,1,,,,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",57,42,15,2,,2,,,,1,1,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",27,22,5,3,3,,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",51,31,20,2,,2,1,1,,,,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",45,37,8,,,,,,,1,1,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",64,57,7,1,1,,,,,4,4,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",60,55,5,2,2,,,,,2,2,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",52,49,3,2,2,,,,,2,2,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",23,22,1,,,,,,,2,2,
Provincial Aerospace Ltd.,2009,Full-Time,National,Canada,0,,"$100,000 and over",13,12,1,,,,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,609,410,199,41,24,17,3,3,,11,11,
Provincial Aerospace Ltd.,2009,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",3,1,2,2,1,1,,,,,,
Provincial Aerospace Ltd.,2009,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",83,47,36,13,10,3,1,1,,,,
Provincial Aerospace Ltd.,2009,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",86,22,64,10,1,9,,,,,,
