EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1997,National,Canada,,,Overall,Full-Time,51,36,15,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Professionals,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,27,24,3,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Supervisors,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Clerical Personnel,Full-Time,5,1,4,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,5,,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,,,Overall,Part-Time,6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Clerical Personnel,Part-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,40,26,14,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,16,14,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,5,1,4,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Full-Time,5,,5,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Other Manual Workers,Full-Time,5,5,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,6,4,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Part-Time,3,3,,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Intermediate Sales and Service Personnel,Part-Time,2,,2,,,,,,,,,
Provincial Aerospace Ltd.,1997,Provincial,Newfoundland and Labrador,0,,Semi-Skilled Manual Workers,Part-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,1997,National,Canada,,,Overall,Full-Time,130,94,36,,,,1,,1,4,2,2
Jazz Aviation L.P.,1997,National,Canada,0,,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,1997,National,Canada,0,,Professionals,Full-Time,7,2,5,,,,1,,1,,,
Jazz Aviation L.P.,1997,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,81,80,1,,,,,,,2,2,
Jazz Aviation L.P.,1997,National,Canada,0,,Supervisors,Full-Time,1,1,,,,,,,,,,
Jazz Aviation L.P.,1997,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,2,,2,,,,,,,,,
Jazz Aviation L.P.,1997,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
