EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
1507953 Ontario Inc. (Inactive),2004,National,Canada,0,,Overall,Full-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2004,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Ontario,0,,Overall,Full-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Ontario,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Overall,Full-Time,18,12,6,,,,,,,4,2,2,18,12,6,,,,,,,4,2,2
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,9,6,3,,,,,,,1,,1
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,,1
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,National,Canada,4841,General Freight Trucking,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,British Columbia,4841,General Freight Trucking,Overall,Full-Time,2,2,,,,,,,,,,,2,2,,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,British Columbia,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,British Columbia,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,British Columbia,4841,General Freight Trucking,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,British Columbia,4841,General Freight Trucking,Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Overall,Full-Time,16,10,6,,,,,,,4,2,2,16,10,6,,,,,,,4,2,2
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Middle and Other Managers,Full-Time,,,,,,,,,,,,,9,6,3,,,,,,,1,,1
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2004,Provincial,Alberta,4841,General Freight Trucking,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
591182 Ontario Ltd.,2004,National,Canada,0,,Overall,Full-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
591182 Ontario Ltd.,2004,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
591182 Ontario Ltd.,2004,Provincial,Ontario,0,,Overall,Full-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
591182 Ontario Ltd.,2004,Provincial,Ontario,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
A.J. Bus Lines Ltd.,2004,National,Canada,0,,Overall,Full-Time,4,4,,,,,2,2,,,,,4,4,,,,,2,2,,,,
A.J. Bus Lines Ltd.,2004,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,4,4,,,,,2,2,,,,
A.J. Bus Lines Ltd.,2004,National,Canada,0,,Overall,Part-Time,2,1,1,,,,,,,,,,2,1,1,,,,,,,,,
A.J. Bus Lines Ltd.,2004,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
A.J. Bus Lines Ltd.,2004,Provincial,Ontario,0,,Overall,Full-Time,4,4,,,,,2,2,,,,,4,4,,,,,2,2,,,,
A.J. Bus Lines Ltd.,2004,Provincial,Ontario,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,4,4,,,,,2,2,,,,
A.J. Bus Lines Ltd.,2004,Provincial,Ontario,0,,Overall,Part-Time,2,1,1,,,,,,,,,,2,1,1,,,,,,,,,
A.J. Bus Lines Ltd.,2004,Provincial,Ontario,0,,Semi-Skilled Manual Workers,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Overall,Full-Time,6,3,3,,,,,,,,,,6,3,3,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Overall,Part-Time,2,1,1,,,,,,,,,,2,1,1,,,,,,,,,
Access Communications Co-operative Limited,2004,National,Canada,0,,Semi-Professionals and Technicians,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Administration portuaire de Montréal,2004,National,Canada,0,,Overall,Full-Time,5,4,1,,,,,,,1,1,,5,4,1,,,,,,,1,1,
Administration portuaire de Montréal,2004,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Administration portuaire de Montréal,2004,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Administration portuaire de Montréal,2004,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Administration portuaire de Montréal,2004,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Administration portuaire de Montréal,2004,Provincial,Québec,0,,Overall,Full-Time,5,4,1,,,,,,,1,1,,5,4,1,,,,,,,1,1,
Administration portuaire de Montréal,2004,Provincial,Québec,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Administration portuaire de Montréal,2004,Provincial,Québec,0,,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Administration portuaire de Montréal,2004,Provincial,Québec,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
