EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1507953 Ontario Inc. (Inactive),2010,National,Canada,0,,136,128,8,0,136
1507953 Ontario Inc. (Inactive),2010,National,Canada,4841,General Freight Trucking,136,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Ontario,0,,136,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Québec,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Nova Scotia,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,New Brunswick,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Manitoba,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,British Columbia,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Prince Edward Island,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Saskatchewan,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Alberta,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Newfoundland and Labrador,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Yukon,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Northwest Territories,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,Provincial,Nunavut,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Calgary,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Edmonton,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Halifax,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Montréal,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Regina,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Toronto,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Vancouver,0,,,,,,
1507953 Ontario Inc. (Inactive),2010,CMA,Winnipeg,0,,,,,,
1641-9749 Québec Inc (Inactive),2010,National,Canada,0,,615,532,81,0,613
1641-9749 Québec Inc (Inactive),2010,National,Canada,4841,General Freight Trucking,615,,,,
1641-9749 Québec Inc (Inactive),2010,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2010,Provincial,Québec,0,,615,,,,
1641-9749 Québec Inc (Inactive),2010,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2010,Provincial,New Brunswick,0,,,,,,
