EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,,,Overall,868,557,311,79,36,43,31,15,16,38,31,7
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"Under $15,000",9,3,6,4,2,2,1,,1,,,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",3,,3,2,,2,,,,1,,1
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",29,12,17,5,2,3,,,,1,1,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",136,50,86,18,6,12,2,,2,7,2,5
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",148,63,85,18,6,12,12,4,8,5,4,1
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",80,49,31,6,5,1,3,,3,1,1,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",50,31,19,5,2,3,2,1,1,3,3,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",63,43,20,4,,4,2,1,1,4,4,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",53,41,12,3,,3,2,2,,1,1,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",57,44,13,1,,1,2,2,,4,4,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",84,76,8,6,6,,3,3,,6,6,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",93,85,8,4,4,,,,,5,5,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",35,33,2,2,2,,1,1,,,,
Provincial Aerospace Ltd.,2013,Full-Time,National,Canada,0,,"$100,000 and over",28,27,1,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,719,454,265,75,34,41,30,14,16,30,26,4
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",9,3,6,4,2,2,1,,1,,,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",2,,2,2,,2,,,,,,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",27,11,16,5,2,3,,,,1,1,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",105,40,65,17,5,12,2,,2,4,1,3
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",133,57,76,18,6,12,12,4,8,5,4,1
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",63,36,27,6,5,1,3,,3,,,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",40,24,16,4,2,2,2,1,1,2,2,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",54,37,17,4,,4,2,1,1,4,4,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",41,32,9,2,,2,2,2,,1,1,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",53,40,13,1,,1,2,2,,4,4,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",68,60,8,5,5,,3,3,,5,5,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",67,60,7,4,4,,,,,4,4,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 85,000 - $99,999",30,28,2,2,2,,,,,,,
Provincial Aerospace Ltd.,2013,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",27,26,1,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,,,Overall,34,15,19,10,4,6,,,,1,,1
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 10,000 - $12,499",5,2,3,2,,2,,,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",9,3,6,3,1,2,,,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",2,2,,2,2,,,,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 17,500 - $19,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 20,000 - $22,499",1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2013,Part-Time,National,Canada,0,,"$ 22,500 - $24,999",1,,1,1,,1,,,,,,
