EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,,,Overall,172,131,41,2,2,,1,1,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"Under $15,000",10,5,5,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",36,22,14,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",24,17,7,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",23,18,5,,,,1,1,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",18,12,6,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",7,5,2,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",10,10,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",11,9,2,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",17,17,,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",10,10,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",2,2,,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,National,Canada,0,,"$100,000 and over",2,2,,1,1,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,112,82,30,2,2,,1,1,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",9,4,5,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",25,13,12,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",16,12,4,,,,,,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",9,7,2,,,,1,1,,,,
Provincial Aerospace Ltd.,1998,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",11,6,5,,,,,,,,,
