EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
1507953 Ontario Inc. (Inactive),2004,National,Canada,0,,,123,21,0,144
1507953 Ontario Inc. (Inactive),2004,National,Canada,4841,General Freight Trucking,159,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Ontario,0,,157,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Québec,0,,2,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Nova Scotia,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,New Brunswick,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Manitoba,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,British Columbia,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Prince Edward Island,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Saskatchewan,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Alberta,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Newfoundland and Labrador,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Yukon,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Northwest Territories,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,Provincial,Nunavut,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Calgary,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Edmonton,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Halifax,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Montréal,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Regina,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Toronto,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Vancouver,0,,,,,,
1507953 Ontario Inc. (Inactive),2004,CMA,Winnipeg,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,National,Canada,0,,,401,44,0,445
1641-9749 Québec Inc (Inactive),2004,National,Canada,4841,General Freight Trucking,454,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Ontario,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Québec,0,,454,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Nova Scotia,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,New Brunswick,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Manitoba,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,British Columbia,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Prince Edward Island,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Saskatchewan,0,,,,,,
1641-9749 Québec Inc (Inactive),2004,Provincial,Alberta,0,,,,,,
