EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2012,National,Canada,,,Overall,Full-Time,171,93,78,23,12,11,2,1,1,13,12,1
Provincial Aerospace Ltd.,2012,National,Canada,0,,Middle and Other Managers,Full-Time,8,5,3,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Professionals,Full-Time,7,4,3,1,,1,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,24,21,3,,,,,,,4,4,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Supervisors,Full-Time,3,2,1,2,1,1,1,,1,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,16,15,1,2,2,,1,1,,3,3,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Clerical Personnel,Full-Time,19,5,14,2,1,1,,,,1,1,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,48,5,43,7,,7,,,,2,1,1
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,38,31,7,7,7,,,,,2,2,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Other Manual Workers,Full-Time,6,4,2,2,1,1,,,,1,1,
Provincial Aerospace Ltd.,2012,National,Canada,,,Overall,Part-Time,13,6,7,4,,4,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,8,1,7,4,,4,,,,,,
Provincial Aerospace Ltd.,2012,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,5,5,,,,,,,,,,
