EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,,,Overall,511,315,196,30,15,15,1,1,,6,3,3
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"Under $15,000",5,2,3,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 15,000 - $19,999",108,33,75,11,5,6,,,,3,1,2
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 20,000 - $24,999",73,30,43,5,1,4,,,,1,,1
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 25,000 - $29,999",68,38,30,3,,3,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 30,000 - $34,999",57,40,17,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 35,000 - $37,499",29,20,9,2,1,1,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 37,500 - $39,999",13,7,6,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 40,000 - $44,999",28,22,6,2,1,1,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 45,000 - $49,999",23,20,3,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 50,000 - $59,999",30,27,3,2,2,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 60,000 - $69,999",48,47,1,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 70,000 - $84,999",16,16,,1,1,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$ 85,000 - $99,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,National,Canada,0,,"$100,000 and over",7,7,,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,,,Overall,461,276,185,27,12,15,1,1,,4,2,2
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"Under $15,000",5,2,3,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $19,999",95,26,69,9,3,6,,,,1,,1
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 20,000 - $24,999",67,26,41,5,1,4,,,,1,,1
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",63,34,29,3,,3,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 30,000 - $34,999",51,35,16,1,1,,1,1,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 35,000 - $37,499",26,17,9,2,1,1,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 37,500 - $39,999",11,5,6,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 40,000 - $44,999",24,18,6,2,1,1,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 45,000 - $49,999",20,17,3,1,1,,,,,1,1,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 50,000 - $59,999",26,24,2,1,1,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 60,000 - $69,999",44,43,1,2,2,,,,,1,1,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 70,000 - $84,999",16,16,,1,1,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$ 85,000 - $99,999",6,6,,,,,,,,,,
Provincial Aerospace Ltd.,2005,Full-Time,Provincial,Newfoundland and Labrador,0,,"$100,000 and over",7,7,,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,,,Overall,11,3,8,1,,1,,,,1,1,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$  5,000 - $ 7,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$  7,500 - $ 9,999",5,1,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$ 10,000 - $12,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$ 15,000 - $17,499",1,1,,,,,,,,1,1,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$ 22,500 - $24,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,National,Canada,0,,"$ 25,000 - $29,999",1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,,,Overall,10,2,8,1,,1,,,,1,1,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  5,000 - $ 7,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$  7,500 - $ 9,999",4,,4,1,,1,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 10,000 - $12,499",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 12,500 - $14,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 15,000 - $17,499",1,1,,,,,,,,1,1,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 22,500 - $24,999",1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2005,Part-Time,Provincial,Newfoundland and Labrador,0,,"$ 25,000 - $29,999",1,1,,,,,,,,,,
