EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Provincial Aerospace Ltd.,2006,National,Canada,,,Overall,Full-Time,193,98,95,15,9,6,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Middle and Other Managers,Full-Time,4,3,1,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Professionals,Full-Time,20,13,7,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,35,25,10,1,1,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Supervisors,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,8,8,,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Clerical Personnel,Full-Time,24,7,17,2,1,1,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,53,3,50,3,,3,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,32,28,4,7,6,1,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Other Sales and Service Personnel,Full-Time,7,2,5,1,1,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Other Manual Workers,Full-Time,4,4,,,,,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,,,Overall,Part-Time,5,,5,3,,3,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,4,,4,3,,3,,,,,,
Provincial Aerospace Ltd.,2006,National,Canada,0,,Other Sales and Service Personnel,Part-Time,1,,1,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,178,88,90,14,8,6,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Senior Managers,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Middle and Other Managers,Full-Time,3,2,1,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Professionals,Full-Time,18,11,7,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Semi-Professionals and Technicians,Full-Time,31,22,9,1,1,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Supervisors,Full-Time,2,2,,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,1,,1,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Skilled Crafts and Trades Workers,Full-Time,7,7,,,,,,,,,,
Provincial Aerospace Ltd.,2006,Provincial,Newfoundland and Labrador,0,,Clerical Personnel,Full-Time,24,7,17,2,1,1,,,,,,
