EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
1507953 Ontario Inc. (Inactive),2015,National,Canada,0,,Overall,Full-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2015,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2015,Provincial,Ontario,0,,Overall,Full-Time,1,1,,,,,,,,,,,1,1,,,,,,,,,,
1507953 Ontario Inc. (Inactive),2015,Provincial,Ontario,0,,Skilled Crafts and Trades Workers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2015,National,Canada,0,,Overall,Full-Time,5,2,3,,,,,,,,,,5,2,3,,,,,,,,,
4186397 Canada Inc.,2015,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
4186397 Canada Inc.,2015,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
4186397 Canada Inc.,2015,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,British Columbia,0,,Overall,Full-Time,3,2,1,,,,,,,,,,3,2,1,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,British Columbia,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,British Columbia,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,British Columbia,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,Alberta,0,,Overall,Full-Time,2,,2,,,,,,,,,,2,,2,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,Alberta,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
4186397 Canada Inc.,2015,Provincial,Alberta,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
6422217 Canada Inc.,2015,National,Canada,0,,Overall,Full-Time,6,3,3,,,,,,,3,2,1,6,3,3,,,,,,,3,2,1
6422217 Canada Inc.,2015,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
6422217 Canada Inc.,2015,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,,,,,,,,,,,,,2,1,1,,,,,,,1,1,
6422217 Canada Inc.,2015,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,1,1,
Acadia Broadcasting Limited,2015,National,Canada,0,,Overall,Full-Time,7,5,2,,,,,,,1,,1,7,5,2,,,,,,,1,,1
Acadia Broadcasting Limited,2015,National,Canada,0,,Senior Managers,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Acadia Broadcasting Limited,2015,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Acadia Broadcasting Limited,2015,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,3,2,1,,,,,,,,,
Acadia Broadcasting Limited,2015,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Access Communications Co-operative Limited,2015,National,Canada,0,,Overall,Full-Time,8,6,2,1,1,,,,,3,2,1,8,6,2,1,1,,,,,3,2,1
Access Communications Co-operative Limited,2015,National,Canada,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2015,National,Canada,0,,Professionals,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,2,2,
Access Communications Co-operative Limited,2015,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Access Communications Co-operative Limited,2015,National,Canada,0,,Supervisors,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,1,,1
Access Communications Co-operative Limited,2015,National,Canada,0,,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,1,1,,,,,,,
Access Communications Co-operative Limited,2015,National,Canada,0,,Overall,Part-Time,2,,2,,,,,,,1,,1,2,,2,,,,,,,1,,1
Access Communications Co-operative Limited,2015,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Access Communications Co-operative Limited,2015,Provincial,Saskatchewan,0,,Overall,Full-Time,8,6,2,1,1,,,,,3,2,1,8,6,2,1,1,,,,,3,2,1
Access Communications Co-operative Limited,2015,Provincial,Saskatchewan,0,,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Access Communications Co-operative Limited,2015,Provincial,Saskatchewan,0,,Professionals,Full-Time,,,,,,,,,,,,,3,3,,,,,,,,2,2,
Access Communications Co-operative Limited,2015,Provincial,Saskatchewan,0,,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
