Year,Region,Employment Equity Occupational Groups, Total ,%, Males ,Males %, Females , Females % , Aboriginal Peoples , Aboriginal Peoples % , Visible Minorities , Visible Minorities % ,Total 15-64 years, Total 15-64 years % , PWD ,PWD %
2016,Canada,Total Canada ," 18,508,555 ",100.0," 9,573,790 ",51.7," 8,934,765 ", 48.3 ," 804,860 ", 4.3 ," 3,219,375 ", 17.4 ," 18,829,395 ", 100.0 ,"1,722,130",9.1
2016,Canada,"   Senior, Middle and Other Managers"," 1,996,785 ",100.0," 1,234,080 ",61.8," 762,705 ", 38.20 ," 57,440 ", 2.9 ," 286,400 ", 14.34 ," 1,964,765 ", 100.0 ,"97,820",5.0
2016,Canada,   Professionals," 3,313,915 ",100.0," 1,462,010 ",44.1," 1,851,900 ", 55.9 ," 83,895 ", 2.5 ," 666,645 ", 20.1 ," 3,355,470 ", 100.0 ,"300,210",8.9
2016,Canada,   Semi-Professionals and Technicians," 1,904,185 ",100.0," 882,705 ",46.4," 1,021,480 ", 53.6 ," 83,500 ", 4.4 ," 311,510 ", 16.4 ," 1,950,990 ", 100.0 ,"147,490",7.6
2016,Canada,   Supervisors," 235,080 ",100.0," 103,420 ",44.0," 131,655 ", 56.0 ," 9,990 ", 4.2 ," 43,730 ", 18.6 ," 250,870 ", 100.0 ,"68,920",27.5
2016,Canada,   Supervisors:  Crafts and Trades," 308,400 ",100.0," 275,765 ",89.4," 32,630 ", 10.6 ," 13,980 ", 4.5 ," 27,785 ", 9.0 ," 307,075 ", 100.0 ,"31,010",10.1
2016,Canada,   Administrative and Senior Clerical Personnel," 1,108,615 ",100.0," 192,295 ",17.3," 916,320 ", 82.7 ," 40,445 ", 3.6 ," 157,940 ", 14.2 ," 1,080,275 ", 100.0 ,"108,280",10.0
2016,Canada,   Skilled Sales and Service Personnel," 811,570 ",100.0," 400,940 ",49.4," 410,635 ", 50.6 ," 33,415 ", 4.1 ," 181,265 ", 22.3 ," 842,825 ", 100.0 ,"67,690",8.0
2016,Canada,   Skilled Crafts and Trades Workers," 1,403,390 ",100.0," 1,347,285 ",96.0," 56,105 ", 4.0 ," 77,145 ", 5.5 ," 132,830 ", 9.5 ," 1,413,640 ", 100.0 ,"110,270",7.8
2016,Canada,   Clerical Personnel ," 1,128,775 ",100.0," 348,930 ",30.9," 779,840 ", 69.1 ," 49,850 ", 4.4 ," 213,780 ", 18.9 ," 1,124,460 ", 100.0 ,"104,540",9.3
2016,Canada,   Intermediate Sales and Service Personnel," 2,402,435 ",100.0," 762,815 ",31.8," 1,639,620 ", 68.2 ," 117,015 ", 4.9 ," 490,195 ", 20.4 ," 2,491,795 ", 100.0 ,"268,000",10.8
2016,Canada,   Semi-Skilled Manual Workers," 1,577,020 ",100.0," 1,311,600 ",83.2," 265,420 ", 16.8 ," 81,555 ", 5.2 ," 278,685 ", 17.7 ," 1,589,050 ", 100.0 ,"163,010",10.3
2016,Canada,   Other Sales and Service Personnel," 1,658,715 ",100.0," 730,010 ",44.0," 928,705 ", 56.0 ," 107,240 ", 6.5 ," 330,635 ", 19.9 ," 1,759,100 ", 100.0 ,"188,000",10.7
2016,Canada,   Other Manual Workers," 659,665 ",100.0," 521,925 ",79.1," 137,740 ", 20.9 ," 49,385 ", 7.5 ," 97,965 ", 14.9 ," 699,080 ", 100.0 ,"47,720",6.8
2016,Newfoundland,Total Newfoundland ," 280,565 ",100.0," 144,900 ",51.6," 135,665 ", 48.4 ," 24,865 ", 8.9 ," 2,910 ", 1.0 ," 270,550 ", 100.0 ,"24,170",8.9
2016,Newfoundland,"   Senior, Middle and Other Managers"," 21,850 ",100.0," 12,475 ",57.1," 9,370 ", 42.9 ," 1,480 ", 6.8 , 275 , 1.3 ," 20,880 ", 100.0 , 910 ,4.4
