Air Canada
year 1997
total 21498.0
permfulltime 19372.0
permparttime 1462.0
tempcount 664.0

year 1998
total 22992.0
permfulltime 20901.0
permparttime 1165.0
tempcount 926.0

year 1999
total 21379.0
permfulltime 20045.0
permparttime 1098.0
tempcount 236.0

year 2000
total 24760.0
permfulltime 23726.0
permparttime 907.0
tempcount 127.0

year 2001
total 32181.0
permfulltime 30556.0
permparttime 1492.0
tempcount 133.0

year 2002
total 33431.0
permfulltime 31421.0
permparttime 1677.0
tempcount 333.0

year 2003
total 24659.0
permfulltime 22578.0
permparttime 2001.0
tempcount 80.0

year 2004
total 26410.0
permfulltime 24343.0
permparttime 2034.0
tempcount 33.0

year 2005
total 27707.0
permfulltime 25119.0
permparttime 2390.0
tempcount 198.0

year 2006
total 26590.0
permfulltime 24412.0
permparttime 2178.0
tempcount 0.0

year 2007
total 26958.0
permfulltime 24424.0
permparttime 2227.0
tempcount 307.0

year 2008
total 25498.0
permfulltime 23290.0
permparttime 1943.0
tempcount 265.0

year 2009
total 25080.0
permfulltime 22930.0
permparttime 1956.0
tempcount 194.0

year 2010
total 25026.0
permfulltime 22768.0
permparttime 2031.0
tempcount 227.0

year 2011
total 23320.0
permfulltime 20942.0
permparttime 2069.0
tempcount 309.0

year 2012
total 22990.0
permfulltime 20926.0
permparttime 2001.0
tempcount 63.0

year 2013
total 22750.0
permfulltime 20725.0
permparttime 2025.0
tempcount 0.0

year 2014
total 22855.0
permfulltime 20823.0
permparttime 1976.0
tempcount 56.0

year 2015
total 23503.0
permfulltime 21300.0
permparttime 2053.0
tempcount 150.0

year 2016
total 24624.0
permfulltime 22234.0
permparttime 2066.0
tempcount 324.0

year 2017
total 26480.0
permfulltime 23922.0
permparttime 2214.0
tempcount 344.0

year 2018
total 28747.0
permfulltime 26086.0
permparttime 2214.0
tempcount 447.0

year 2019
total 30802.0
permfulltime 28114.0
permparttime 2417.0
tempcount 271.0

